Category,def
pollution,undesirable state natural environment contaminated harmful substances consequence human activities state polluted act contaminating polluting including either intentionally accidentally
sustainability,property sustainable
building material properties structures,structure roof walls stands less permanently one place act constructing something commercial activity involved repairing old structures constructing new ones occupants building make combining materials parts form accumulate steadily build establish something abstract improve cleansing action order supervise finance construction give form to according plan engaged building found ground bolster strengthen develop grow tangible substance goes makeup physical object information data ideas observations artifact made weaving felting knitting crocheting natural synthetic fibers things needed making something person judged suitable admission employment concerned worldly rather spiritual interests derived composed matter directly relevant matter especially law case concerned affecting physical distinct intellectual psychological wellbeing material physical form substance substance capable treated fact imaginary something owned tangible intangible possession owned someone basic essential attribute shared members class area set aside particular purpose construct whereby objects individuals distinguished movable articles objects used set play movie thing constructed complex entity constructed many parts manner construction something arrangement parts complex composition knowledge elements combinations particular complex anatomical part living thing construction arrangement people society considered system organized characteristic pattern relationships give structure
geosynthetics,
recycled materials geo environmental modeling,cause repeat cycle use processing tangible substance goes makeup physical object information data ideas observations artifact made weaving felting knitting crocheting natural synthetic fibers things needed making something person judged suitable admission employment relating external conditions surroundings concerned ecological effects altering environment sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
structural health monitoring inspection,relating caused structure especially political economic structure relating characterized structure affecting involved structure construction concerned systematic structure particular field study pertaining geological structure relating concerned morphology plants animals healthy state wellbeing free disease general condition body mind act observing something and sometimes keeping record keep tabs on keep eye on keep surveillance check track observe means receiver formal official examination
structural stress,relating caused structure especially political economic structure relating characterized structure affecting involved structure construction concerned systematic structure particular field study pertaining geological structure relating concerned morphology plants animals relative prominence syllable musical note especially regard stress pitch psychology special emphasis attached something difficulty causes worry emotional tension physics stress single important put stress on utter accent test limits
nan,grandmother mother father mother river western Thailand flowing southward join Ping River form Chao Phraya leavened bread baked clay oven India usually shaped like teardrop
bio based transport,use basis for found situate center operations use purified cocaine base base operations often used combining form something serves means transportation exchange molecules and kinetic energy momentum commercial enterprise moving goods materials state carried away overwhelming emotion mechanism transports magnetic tape across read write heads tape playback recorder act moving something one location another move something somebody around usually long distances move supporting either vehicle ones hands ones body hold spellbound transport commercially send one person place another
electrical based transport,relating concerned electricity using providing producing transmitting operated electricity use basis for found situate center operations use purified cocaine base base operations often used combining form something serves means transportation exchange molecules and kinetic energy momentum commercial enterprise moving goods materials state carried away overwhelming emotion mechanism transports magnetic tape across read write heads tape playback recorder act moving something one location another move something somebody around usually long distances move supporting either vehicle ones hands ones body hold spellbound transport commercially send one person place another
thermal based transport,rising current warm air relating associated heat relating hot spring caused designed retain heat use basis for found situate center operations use purified cocaine base base operations often used combining form something serves means transportation exchange molecules and kinetic energy momentum commercial enterprise moving goods materials state carried away overwhelming emotion mechanism transports magnetic tape across read write heads tape playback recorder act moving something one location another move something somebody around usually long distances move supporting either vehicle ones hands ones body hold spellbound transport commercially send one person place another
high temperature tribology,lofty level position degree air mass higher normal pressure state sustained elation state altered consciousness induced alcohol narcotics high place public secondary school usually including grades 9 12 forward gear gear ratio gives greatest vehicle velocity given engine speed greater normal degree intensity amount literal meaning sometimes used combinations like kneehigh standing others quality position used sounds voices high pitch frequency happy excited energetic used smell meat slightly pleasantly intoxicated alcohol drug especially marijuana great altitude high position amount degree rich manner far toward source degree hotness coldness body environment corresponding molecular activity somatic sensation cold heat branch engineering deals interaction surfaces relative motion as bearings gears
nano scale surface engineering,ordered reference standard relative magnitude ratio size something representation specialized leaf bract protects bud catkin thin flake dead epidermis shed surface skin music usually within octave measuring instrument weighing shows amount mass indicator graduated sequence marks metal sheathing uniform thickness such shield attached artillery piece protect gunners flattened rigid plate forming part body covering many animals measure scale pattern make regulate set measure estimate according rate standard take attacking scaling ladders reach highest point climb means ladder remove scales measure scales size measure according scale outer boundary artifact material layer constituting resembling boundary extended twodimensional outer boundary threedimensional object outermost level land sea superficial aspect opposed real nature something information become public device provides reactive force motion relative surrounding air lift control plane flight come surface put coat on cover surface of furnish surface appear become visible make showing surface practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
indentation scratch,concave cut surface edge as coastline formation small pits surface consequence corrosion space left margin start indented line act cutting edge toothlike notches angular incisions abraded area skin torn worn depression scratched carved surface informal terms money competitor withdrawn competition line indicating location start race game dry mash poultry harsh noise made scraping poor handwriting indication damage cause friction cut surface of wear away surface scrape rub relieve itching postpone indefinitely annul something scheduled remove erasing crossing drawing line gather money resources carve cut etch material surface
additive manufacturing,something added enhance food gasoline paint medicine designating involving equation whose terms first degree characterized produced addition act making something a product put together artificial natural components parts concoct something artificial untrue produce naturally create produce mechanical way
electrocatalysts,
energy generation storage,physics forceful exertion enterprising ambitious drive imaginative lively style especially style writing healthy capacity vigorous activity source usable power federal department responsible maintaining national energy policy United States created 1977 people living time approximately age group genetically related organisms constituting single step line descent normal time successive generations stage technological development innovation coming production heat electricity act producing offspring multiplying production act storing something depository goods commercial enterprise storing goods materials computer science electronic memory device depositing warehouse
fabric synthesis,artifact made weaving felting knitting crocheting natural synthetic fibers underlying structure process producing chemical compound usually union simpler chemical compounds combination ideas complex whole reasoning general particular or cause effect
plasonics nanophotonics,
two dimensional materials,cardinal number sum one one numeral representing number one four playing cards deck two spots one one relating dimensions dimensionthe quality character stature proper person tangible substance goes makeup physical object information data ideas observations artifact made weaving felting knitting crocheting natural synthetic fibers things needed making something person judged suitable admission employment
general,general officer highest rank head religious order congregation fact whole as opposed particular command general applying members category group specialized limited one class things prevailing among common general public affecting entire body somewhat indefinite worldwide scope applicability
stylometry,
analytic hierarchy process optimization,using subjected methodology using algebra calculus using skilled using analysis ie separating wholeintellectual substantialinto elemental parts basic principles expressing grammatical category using two words rather inflection proposition necessarily true independent fact experience series ordered groupings people things within system organization people different ranks administrative body particular course action intended achieve result psychology writ issued authority law usually compels defendants attendance civil suit failure appear results default judgment defendant mental process directly aware natural prolongation projection part organism either animal plant sustained phenomenon one marked gradual changes series states subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone act rendering optimal
combinatorial optimization,relating involving combinations relating combination arrangement elements sets act rendering optimal
integer programming optimization,natural numbers positive negative setting order time planned events creating sequence instructions enable computer something arrange program write computer program write computer program arrange program act rendering optimal
portfolio optimization,large flat thin case carrying loose papers drawings maps usually leather set pieces creative work collected shown potential customers employers list financial assets held individual bank financial institution role head government department act rendering optimal
process optimization,particular course action intended achieve result psychology writ issued authority law usually compels defendants attendance civil suit failure appear results default judgment defendant mental process directly aware natural prolongation projection part organism either animal plant sustained phenomenon one marked gradual changes series states subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone act rendering optimal
robust optimization,sturdy strong form constitution construction marked richness fullness flavor strong enough withstand overcome intellectual challenges adversity rough crude act rendering optimal
stochastic optimization,random variable act rendering optimal
rare event simulation,widely known especially valued uncommonness recurring long intervals widely distributed low density marked uncommon quality especially superlative extreme kind of meat something happens given place time special set circumstances phenomenon located single point spacetime fundamental observational entity relativity theory phenomenon follows caused previous phenomenon act imitating behavior situation process means something suitably analogous especially purpose study personnel training computer science representation something sometimes smaller scale act giving false appearance
simulation optimization,act imitating behavior situation process means something suitably analogous especially purpose study personnel training computer science representation something sometimes smaller scale act giving false appearance act rendering optimal
model calibration,hypothetical description complex entity process type product person poses photographer painter sculptor representation something sometimes smaller scale something imitated someone worthy imitation representative form pattern woman wears clothes display fashions act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model worthy imitation act checking adjusting by comparison standard
time series modeling,instance single occasion event period time considered resource control sufficient accomplish something indefinite period usually marked specific attributes activities suitable moment continuum experience events pass future present past persons experience particular occasion reading point time given clock fourth coordinate required along three spatial dimensions rhythm given division parts equal duration period time prisoner imprisoned measure time duration event action person performs action certain period time assign time activity event set speed duration execution regulate set time adjust force applied action occurs desired time similar things placed order happening one another serialized set programs periodical appears scheduled times sports electronics group postage stamps common theme group coins currency selected group study collection mathematics sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
nonparametric inference,involving estimation parameters statistic reasoning involved drawing conclusion making logical judgment basis circumstantial evidence prior conclusions rather basis direct observation
bayesian networks,relating statistical methods based Bayes theorem interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group
markov models,Russian mathematician 18561922 hypothetical description complex entity process type product person poses photographer painter sculptor representation something sometimes smaller scale something imitated someone worthy imitation representative form pattern woman wears clothes display fashions act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
queueing theory,form queue form line stand line wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior
probabilistic ontologies,relating Roman Catholic philosophy probabilism relating based probability computer science metaphysical study nature existence
acquisition decision support,act contracting assuming acquiring possession something something acquired cognitive process acquiring skill knowledge ability acquired training act making mind something position opinion judgment reached consideration boxing outcome game contest trait resoluteness evidenced firmness character purpose activity providing maintaining supplying money necessities aiding cause policy interests something providing immaterial assistance person cause interest military operation often involving new supplies men materiel documentary validation financial means whereby one lives supporting structure holds provides foundation act bearing weight strengthening musical part vocal instrumental device bears weight another thing financial resources provided make project possible give moral psychological support aid courage support materially financially behind approve physical support of carry weight establish strengthen new evidence facts adopt belief support evidence authority make certain confirm argue speak defense play subordinate role another performer regular customer client put something somebody unpleasant
model based systems engineering,hypothetical description complex entity process type product person poses photographer painter sculptor representation something sometimes smaller scale something imitated someone worthy imitation representative form pattern woman wears clothes display fashions act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model worthy imitation use basis for found situate center operations use purified cocaine base base operations often used combining form instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
system analysis simulation,instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud act imitating behavior situation process means something suitably analogous especially purpose study personnel training computer science representation something sometimes smaller scale act giving false appearance
system enterprise architecture design,instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized purposeful industrious undertaking especially one requires effort boldness organization created business ventures readiness embark bold new ventures architectural product work discipline dealing principles design construction ornamentation fine buildings profession designing buildings environments consideration esthetic effect computer science act working form something as making sketch outline plan arrangement scheme something intended guide making something else decorative artistic work anticipated outcome intended guides planned actions preliminary sketch indicating plan something creation something mind make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose
workforce development,force workers available act improving expanding enlarging refining process something passes degrees different stage especially advanced mature stage biology recent event relevance present situation act making area land water profitable productive useful district developed serve purpose state things improving result developing as early part game chess processing photosensitive material order make image visible music especially sonata form
emergency response systems,sudden unforeseen crisis usually involving danger state martial law applies brake operated hand usually operates mechanical linkage result bodily process occurring due effect antecedent stimulus agent statement either spoken written manner something greeted phrase recited sung congregation following versicle priest minister speech act continuing conversational exchange manner electrical mechanical device responds input signal range input signals instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
humanitarian organizations human rights,someone devoted promotion human welfare social reforms advocate principles humanism someone concerned interests welfare humans marked humanistic values devotion human welfare relating characteristic humanitarianism group people work together organized structure arranging classifying persons or committees departments etc act organizing business activity related business ordered manner orderliness virtue methodical well organized activity result distributing disposing persons things properly methodically act forming establishing something living extinct member family Hominidae characterized superior intelligence articulate speech erect carriage characteristic humanity relating person human form attributes opposed animals divine beings abstract idea due person governmental body law tradition nature location near direction toward right side ie side south person object faces east piece ground outfield catchers right support political social economic conservatism believe things better left unchanged hand right side body turn toward side body south person facing east anything accord principles justice frequently plural make reparations amends put restore upright position regain upright proper position make right correct
law enforcement,collection rules imposed authority legal document setting forth rules governing particular kind activity rule body rules conduct inherent human nature essential binding upon human society generalization describes recurring facts events nature branch philosophy concerned law principles lead courts make decisions learned profession mastered graduate study law school responsible judicial system force policemen officers act enforcing ensuring observance obedience
curricular development enhanced educational opportunities,relating academic course study act improving expanding enlarging refining process something passes degrees different stage especially advanced mature stage biology recent event relevance present situation act making area land water profitable productive useful district developed serve purpose state things improving result developing as early part game chess processing photosensitive material order make image visible music especially sonata form increase make better attractive increased intensified value beauty quality relating process education providing knowledge possibility due favorable combination circumstances
engineering computing student learning methods effectiveness,practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation learner enrolled educational institution learned person especially humanities cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort way something especially systematic way implies orderly logical arrangement usually steps acting technique introduced Stanislavsky actor recalls emotions reactions life uses identify character portrayed power effective quality able bring effect capacity produce strong physiological chemical effects
distance computer based learning,property created space two objects points distant region size gap two places indifference personal withdrawal interval two times remote point time keep distance go far ahead machine performing calculations automatically expert calculation or operating calculating machines use basis for found situate center operations use purified cocaine base base operations often used combining form cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
power system reliability,possession controlling influence physics  joules second possession qualities especially mental qualities of government government official one possessing exercising power influence authority mathematical notation indicating number times quantity multiplied physical strength state powerful enough influence events throughout world energy made available flow electric charge conductor wealthy powerful businessman supply force power functioning instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized quality dependable reliable
power system management,possession controlling influence physics  joules second possession qualities especially mental qualities of government government official one possessing exercising power influence authority mathematical notation indicating number times quantity multiplied physical strength state powerful enough influence events throughout world energy made available flow electric charge conductor wealthy powerful businessman supply force power functioning instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized act managing something charge running business
power system security,possession controlling influence physics  joules second possession qualities especially mental qualities of government government official one possessing exercising power influence authority mathematical notation indicating number times quantity multiplied physical strength state powerful enough influence events throughout world energy made available flow electric charge conductor wealthy powerful businessman supply force power functioning instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
operational risk management,pertaining process series actions achieving result fit ready use service military effect operation source danger possibility incurring loss misfortune venture undertaken without regard possible loss injury probability becoming infected given exposure infectious agent occurred probability exposed infectious agent expose chance loss damage take risk hope favorable outcome act managing something charge running business
portfolio optimization asset allocation,large flat thin case carrying loose papers drawings maps usually leather set pieces creative work collected shown potential customers employers list financial assets held individual bank financial institution role head government department act rendering optimal useful valuable quality share set aside specific purpose act distributing allotting apportioning distribution according plan computer science
regulation,authoritative rule principle condition customarily governs behavior state controlled governed embryology act bringing uniformity making regular act controlling directing according rule prescribed according regulation
linguistics,scientific study language humanistic study language literature
semiconductor manufacturing,substance germanium silicon whose electrical conductivity intermediate metal insulator conductivity increases temperature presence impurities conductor made semiconducting material act making something a product put together artificial natural components parts concoct something artificial untrue produce naturally create produce mechanical way
sustainable manufacturing,capable sustained act making something a product put together artificial natural components parts concoct something artificial untrue produce naturally create produce mechanical way
command,authoritative direction instruction something military unit region control single officer power authority command availability use position highest authority great skillfulness knowledge subject activity computer science command make someone something demand ones due look exercise authoritative control power
control,power direct determine relation constraint one entity thing person group physiology standard conditions compared scientific experiment activity managing exerting control something state exists one person group power another discipline personal social activities great skillfulness knowledge subject activity mechanism controls operation machine spiritual agency assumed assist medium seance economic policy controlling limiting curbing prices wages etc exercise authoritative control power lessen intensity of temper hold restraint hold keep within limits handle cause function maintain influence others oneself check regulate a scientific experiment place restrictions limit access law verify using duplicate register comparison careful certain something make certain something firm understanding knowledge of top
communications,activity communicating activity conveying information something communicated people groups connection allowing access persons places discipline studies principles transmiting information methods delivered as print radio television etc
computers,machine performing calculations automatically expert calculation or operating calculating machines
intelligence c4i  cyber,ability comprehend understand profit experience unit responsible gathering interpreting information enemy secret information enemy or potential enemy information recent important events operation gathering information enemy
embedded systems,fix set securely deeply attach to journalist military unit reporting war enclosed firmly surrounding mass inserted integral part surrounding whole instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
life cycle maintenance analysis,characteristic state mode living experience alive course human events activities course existence individual actions events occur living condition living state alive period something functional as birth death period birth present time period present death living person animation energy action expression living things collectively organic phenomenon distinguishes living organisms nonliving ones account series events making persons life motive living prison term lasting long prisoner lives interval recurring sequence events occurs series poems songs theme periodically repeated sequence events unit frequency one hertz periodic interval one second named Heinrich Rudolph Hertz single complete execution periodically repeated phenomenon wheeled vehicle two wheels moved foot pedals cause go recurring sequence pass cycle ride motorcycle ride bicycle recur repeating sequences activity involved maintaining something good working order means maintenance family group courtordered support paid one spouse another separated act sustaining life food providing means subsistence unauthorized interference legal action person interest as helping one party money otherwise continue action investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
intelligence strategic analysis,ability comprehend understand profit experience unit responsible gathering interpreting information enemy secret information enemy or potential enemy information recent important events operation gathering information enemy relating concerned strategy highly important integral part strategy plan action especially war investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
player team analytics,person participates skilled game someone plays musical instrument as profession theatrical performer person pursues number different social sexual partners simultaneously someone takes part activity cooperative unit especially sports two draft animals work together pull something form team
economics,branch social science deals production distribution consumption goods services management
safety security,state certain adverse effects caused agent defined conditions safe place device designed prevent injury accidents baseball contraceptive device consisting sheath thin rubber latex worn penis intercourse score American football player tackled behind goal line state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
emergency response,sudden unforeseen crisis usually involving danger state martial law applies brake operated hand usually operates mechanical linkage result bodily process occurring due effect antecedent stimulus agent statement either spoken written manner something greeted phrase recited sung congregation following versicle priest minister speech act continuing conversational exchange manner electrical mechanical device responds input signal range input signals
sustainability resilience,property sustainable physical property material return original shape position deformation exceed elastic limit occurrence rebounding springing back
system management,instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized act managing something charge running business
modeling performance,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model dramatic musical entertainment act presenting play piece music entertainment act performing something successfully using knowledge distinguished merely possessing recognized accomplishment process manner functioning operating
digital forensics,displaying numbers rather scale positions relating performed fingers circuit device represents magnitudes digits scientific tests techniques used investigation crimes
modeling performance evaluation,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model dramatic musical entertainment act presenting play piece music entertainment act performing something successfully using knowledge distinguished merely possessing recognized accomplishment process manner functioning operating act ascertaining fixing value worth appraisal value something
wireless communications,medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires activity communicating activity conveying information something communicated people groups connection allowing access persons places discipline studies principles transmiting information methods delivered as print radio television etc
iot security,state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
engineering education,practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking activities educating instructing activities impart knowledge skill knowledge acquired learning instruction gradual process acquiring knowledge profession teaching especially school college university result good upbringing especially knowledge correct social behavior United States federal department administers federal programs dealing education including federal aid educational institutions students
entrepreneurship innovation,creation a new device process creation something mind act starting something first time introducing something new
cyber security,state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
information security assurance,message received understood knowledge acquired study experience instruction formal accusation crime collection facts conclusions may drawn communication theory state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc freedom doubt belief abilities binding commitment give refrain something statement intended inspire confidence British term kinds insurance
computer game technology,machine performing calculations automatically expert calculation or operating calculating machines contest rules determine winner single play sport contest amusement pastime animal hunted food sport tennis games flesh wild animals used food secret scheme something especially something underhand illegal game equipment needed order play particular game occupation line work frivolous trifling behavior place bet disabled feet legs willing face danger application knowledge usage tools such machines utensils discipline dealing art science applying scientific knowledge practical problems machinery equipment developed engineering applied sciences
